trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_dur	oneOverF_texture_path	onset_abs	duration
999	0.010808944702148438	stim	0		0	dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	10.979928016662598	0.003042936325073242
999	0.01385188102722168	stim	1		0	dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	10.982970952987671	0.001165151596069336
999	0.015017032623291016	stim	2		0	dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	10.98413610458374	15.003519058227539
999	2.902069091796875	pulse	2	t		dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	13.871188163757324	
999	6.868705987930298	pulse	2	t		dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	17.837825059890747	
999	9.985363960266113	pulse	2	t		dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	20.954483032226562	
999	11.993741989135742	pulse	2	t		dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	22.96286106109619	
999	14.27708888053894	pulse	2	t		dur	0.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	25.24620795249939	
0	15.01853609085083	stim	0		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	25.98765516281128	0.574819803237915
0	15.585284948348999	pulse	0	t		isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	26.55440402030945	
0	15.593355894088745	stim	1		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	26.562474966049194	0.800260066986084
0	16.39361596107483	stim	2		590	isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	27.36273503303528	5.006472110748291
0	19.593743085861206	response	2	lctrl		isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	30.562862157821655	
0	19.701873064041138	response	2	c		isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	30.670992136001587	
0	21.083528995513916	response	2	lctrl		isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	32.052648067474365	
