trial_nr	onset	event_type	phase	response	nr_frames	flicker_speed	onset_abs	duration
0	0.008234024047851562	stim	0		0.0	134.0	31.26651620864868	0.0022242069244384766
0	0.010458230972290039	stim	1		0.0	134.0	31.26874041557312	0.0009949207305908203
0	0.01145315170288086	stim	2		1529.0	134.0	31.26973533630371	12.738484859466553
0	1.4916670322418213	pulse	2	t		134.0	32.74994921684265	
0	2.9917280673980713	pulse	2	t		134.0	34.2500102519989	
0	4.491673231124878	pulse	2	t		134.0	35.74995541572571	
0	5.9917402267456055	pulse	2	t		134.0	37.250022411346436	
0	7.49170708656311	pulse	2	t		134.0	38.74998927116394	
0	8.99169921875	pulse	2	t		134.0	40.24998140335083	
0	9.458335161209106	response	2	b		134.0	40.71661734580994	
0	10.491682052612305	pulse	2	t		134.0	41.749964237213135	
0	11.991706132888794	pulse	2	t		134.0	43.249988317489624	
1	12.749938011169434	stim	0		90.0	134.0	44.008220195770264	0.7499420642852783
1	13.49163007736206	pulse	0	t		134.0	44.74991226196289	
1	13.499880075454712	stim	1		1621.0	134.0	44.75816226005554	13.508249044418335
1	14.333299160003662	response	1	b		134.0	45.59158134460449	
1	14.991661071777344	pulse	1	t		134.0	46.249943256378174	
1	16.49175500869751	pulse	1	t		134.0	47.75003719329834	
1	17.991679191589355	pulse	1	t		134.0	49.249961376190186	
1	18.116611003875732	response	1	b		134.0	49.37489318847656	
1	19.491571187973022	pulse	1	t		134.0	50.74985337257385	
1	20.99164319038391	pulse	1	t		134.0	52.24992537498474	
1	22.491592168807983	pulse	1	t		134.0	53.74987435340881	
1	22.608214139938354	response	1	b		134.0	53.866496324539185	
1	23.991589069366455	pulse	1	t		134.0	55.249871253967285	
1	25.49150013923645	pulse	1	t		134.0	56.74978232383728	
1	26.99158000946045	pulse	1	t		134.0	58.24986219406128	
1	27.008129119873047	stim	2		1530.0	134.0	58.26641130447388	12.749943017959595
1	28.491579055786133	pulse	2	t		134.0	59.74986124038696	
1	29.375028133392334	response	2	b		134.0	60.633310317993164	
1	29.991462230682373	pulse	2	t		134.0	61.2497444152832	
1	31.491547107696533	pulse	2	t		134.0	62.74982929229736	
1	32.99154710769653	pulse	2	t		134.0	64.24982929229736	
1	33.458205223083496	response	2	b		134.0	64.71648740768433	
1	34.49151301383972	pulse	2	t		134.0	65.74979519844055	
1	35.9915611743927	pulse	2	t		134.0	67.24984335899353	
1	37.491499185562134	pulse	2	t		134.0	68.74978137016296	
1	38.866570234298706	response	2	b		134.0	70.12485241889954	
1	38.991533041000366	pulse	2	t		134.0	70.2498152256012	
2	39.75807213783264	stim	0		89.0	134.0	71.01635432243347	0.7417130470275879
2	40.49157118797302	pulse	0	t		134.0	71.74985337257385	
2	40.49978518486023	stim	1		1621.0	134.0	71.75806736946106	13.508260011672974
2	41.99142003059387	pulse	1	t		134.0	73.2497022151947	
2	43.22479605674744	response	1	b		134.0	74.48307824134827	
2	43.49144411087036	pulse	1	t		134.0	74.74972629547119	
2	44.99146318435669	pulse	1	t		134.0	76.24974536895752	
2	46.49144911766052	pulse	1	t		134.0	77.74973130226135	
2	47.99146223068237	pulse	1	t		134.0	79.2497444152832	
2	49.08317518234253	response	1	b		134.0	80.34145736694336	
2	49.49115014076233	pulse	1	t		134.0	80.74943232536316	
2	50.99136710166931	pulse	1	t		134.0	82.24964928627014	
2	52.49140405654907	pulse	1	t		134.0	83.7496862411499	
2	53.991422176361084	pulse	1	t		134.0	85.24970436096191	
2	54.0080451965332	stim	2		1530.0	134.0	85.26632738113403	12.749956846237183
2	55.491438150405884	pulse	2	t		134.0	86.74972033500671	
2	56.99141716957092	pulse	2	t		134.0	88.24969935417175	
2	57.483137130737305	response	2	b		134.0	88.74141931533813	
2	58.49164009094238	pulse	2	t		134.0	89.74992227554321	
2	59.991446018218994	pulse	2	t		134.0	91.24972820281982	
2	61.49146604537964	pulse	2	t		134.0	92.74974822998047	
2	62.99143314361572	pulse	2	t		134.0	94.24971532821655	
2	64.49145412445068	pulse	2	t		134.0	95.74973630905151	
2	65.99142718315125	pulse	2	t		134.0	97.24970936775208	
3	66.75800204277039	stim	0		89.0	134.0	98.01628422737122	0.7416861057281494
3	67.49144721031189	pulse	0	t		134.0	98.74972939491272	
3	67.49968814849854	stim	1		1621.0	134.0	98.75797033309937	13.508243083953857
3	68.99132704734802	pulse	1	t		134.0	100.24960923194885	
3	70.49132919311523	pulse	1	t		134.0	101.74961137771606	
3	71.9912760257721	pulse	1	t		134.0	103.24955821037292	
3	73.49136400222778	pulse	1	t		134.0	104.74964618682861	
3	74.99136018753052	pulse	1	t		134.0	106.24964237213135	
3	75.05800700187683	response	1	b		134.0	106.31628918647766	
3	76.49144411087036	pulse	1	t		134.0	107.74972629547119	
3	77.99136519432068	pulse	1	t		134.0	109.24964737892151	
3	79.49140501022339	pulse	1	t		134.0	110.74968719482422	
3	80.99130916595459	pulse	1	t		134.0	112.24959135055542	
3	81.00793123245239	stim	2		1530.0	134.0	112.26621341705322	12.749957799911499
3	82.49138021469116	pulse	2	t		134.0	113.74966239929199	
3	83.99128818511963	pulse	2	t		134.0	115.24957036972046	
3	85.4913260936737	pulse	2	t		134.0	116.74960827827454	
3	86.99125504493713	pulse	2	t		134.0	118.24953722953796	
3	88.4912781715393	pulse	2	t		134.0	119.74956035614014	
3	89.99127411842346	pulse	2	t		134.0	121.24955630302429	
3	91.4912531375885	pulse	2	t		134.0	122.74953532218933	
3	92.99131417274475	pulse	2	t		134.0	124.24959635734558	
4	93.75788903236389	stim	0		89.0	134.0	125.01617121696472	0.7416281700134277
4	94.49131608009338	pulse	0	t		134.0	125.74959826469421	
4	94.49951720237732	stim	1		1620.0	134.0	125.75779938697815	13.49986982345581
