type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
blank,4.5,3.0,0,0.0,21
dur,4.5,3.0,2,17.0,25
dur,4.5,3.0,2,17.0,13
isi,4.5,3.0,8,67.0,66
dur,4.5,3.0,16,134.0,56
isi,4.5,3.0,64,533.0,6
isi,4.5,3.0,32,267.0,54
isi,4.5,3.0,16,134.0,61
blank,4.5,3.0,0,0.0,71
blank,4.5,3.0,0,0.0,57
dur,4.5,3.0,64,533.0,42
dur,4.5,3.0,4,33.0,65
isi,4.5,3.0,2,17.0,3
blank,4.5,3.0,0,0.0,78
blank,4.5,3.0,0,0.0,53
isi,4.5,3.0,4,33.0,30
blank,4.5,3.0,0,0.0,36
isi,4.5,3.0,16,134.0,77
isi,4.5,3.0,16,134.0,17
isi,4.5,3.0,8,67.0,40
isi,4.5,3.0,2,17.0,49
blank,4.5,3.0,0,0.0,48
dur,4.5,3.0,16,134.0,59
blank,4.5,3.0,0,0.0,73
dur,4.5,3.0,8,67.0,52
isi,4.5,3.0,16,134.0,37
blank,4.5,3.0,0,0.0,9
dur,4.5,3.0,32,267.0,76
dur,4.5,3.0,4,33.0,72
isi,4.5,3.0,2,17.0,28
dur,4.5,3.0,32,267.0,27
dur,4.5,3.0,64,533.0,15
dur,4.5,3.0,0,0.0,18
dur,4.5,3.0,16,134.0,67
blank,4.5,3.0,0,0.0,51
isi,4.5,3.0,8,67.0,64
dur,4.5,3.0,8,67.0,23
dur,4.5,3.0,16,134.0,47
dur,4.5,3.0,0,0.0,16
dur,4.5,3.0,4,33.0,20
dur,4.5,3.0,4,33.0,7
isi,4.5,3.0,4,33.0,41
dur,4.5,3.0,2,17.0,45
dur,4.5,3.0,64,533.0,35
dur,4.5,3.0,64,533.0,26
dur,4.5,3.0,0,0.0,69
isi,4.5,3.0,4,33.0,34
dur,4.5,3.0,64,533.0,74
dur,4.5,3.0,2,17.0,70
dur,4.5,3.0,16,134.0,32
dur,4.5,3.0,4,33.0,68
isi,4.5,3.0,64,533.0,29
isi,4.5,3.0,32,267.0,63
isi,4.5,3.0,32,267.0,60
dur,4.5,3.0,2,17.0,58
isi,4.5,3.0,64,533.0,12
isi,4.5,3.0,64,533.0,11
dur,4.5,3.0,8,67.0,46
isi,4.5,3.0,2,17.0,1
isi,4.5,3.0,64,533.0,31
blank,4.5,3.0,0,0.0,43
isi,4.5,3.0,32,267.0,24
dur,4.5,3.0,32,267.0,39
blank,4.5,3.0,0,0.0,2
isi,4.5,3.0,16,134.0,8
isi,4.5,3.0,4,33.0,5
isi,4.5,3.0,2,17.0,62
isi,4.5,3.0,32,267.0,50
isi,4.5,3.0,4,33.0,75
dur,4.5,3.0,8,67.0,0
dur,4.5,3.0,8,67.0,33
isi,4.5,3.0,8,67.0,14
blank,4.5,3.0,0,0.0,4
dur,4.5,3.0,32,267.0,44
blank,4.5,3.0,0,0.0,10
isi,4.5,3.0,8,67.0,55
dur,4.5,3.0,0,0.0,19
dur,4.5,3.0,0,0.0,38
dur,4.5,3.0,32,267.0,22
