type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.96,3.0,8,67.0,18
dur,3.96,3.0,16,134.0,59
dur,3.96,3.0,2,17.0,24
isi,3.96,3.0,2,17.0,71
blank,3.96,3.0,0,0.0,41
dur,3.96,3.0,4,33.0,44
isi,3.96,3.0,8,67.0,61
dur,3.96,3.0,16,134.0,12
dur,3.96,3.0,0,0.0,30
isi,3.96,3.0,2,17.0,40
isi,3.96,3.0,32,267.0,8
isi,3.96,3.0,8,67.0,64
dur,3.96,3.0,32,267.0,1
dur,3.96,3.0,8,67.0,58
isi,3.96,3.0,4,33.0,31
dur,3.96,3.0,0,0.0,77
blank,3.96,3.0,0,0.0,69
isi,3.96,3.0,32,267.0,6
isi,3.96,3.0,64,533.0,53
dur,3.96,3.0,32,267.0,52
isi,3.96,3.0,32,267.0,78
isi,3.96,3.0,64,533.0,54
isi,3.96,3.0,64,533.0,3
isi,3.96,3.0,64,533.0,75
blank,3.96,3.0,0,0.0,0
isi,3.96,3.0,16,134.0,36
blank,3.96,3.0,0,0.0,10
isi,3.96,3.0,16,134.0,43
dur,3.96,3.0,16,134.0,11
blank,3.96,3.0,0,0.0,76
dur,3.96,3.0,0,0.0,38
dur,3.96,3.0,64,533.0,37
blank,3.96,3.0,0,0.0,27
isi,3.96,3.0,16,134.0,60
isi,3.96,3.0,4,33.0,32
dur,3.96,3.0,4,33.0,67
isi,3.96,3.0,2,17.0,19
dur,3.96,3.0,32,267.0,5
blank,3.96,3.0,0,0.0,7
isi,3.96,3.0,16,134.0,25
dur,3.96,3.0,32,267.0,72
dur,3.96,3.0,8,67.0,49
dur,3.96,3.0,4,33.0,65
dur,3.96,3.0,8,67.0,28
dur,3.96,3.0,2,17.0,34
isi,3.96,3.0,8,67.0,15
dur,3.96,3.0,64,533.0,45
isi,3.96,3.0,16,134.0,39
dur,3.96,3.0,2,17.0,68
dur,3.96,3.0,16,134.0,26
isi,3.96,3.0,32,267.0,57
dur,3.96,3.0,64,533.0,17
dur,3.96,3.0,4,33.0,21
dur,3.96,3.0,0,0.0,9
dur,3.96,3.0,8,67.0,20
dur,3.96,3.0,32,267.0,66
isi,3.96,3.0,8,67.0,4
dur,3.96,3.0,4,33.0,55
blank,3.96,3.0,0,0.0,47
blank,3.96,3.0,0,0.0,42
isi,3.96,3.0,2,17.0,63
isi,3.96,3.0,4,33.0,73
blank,3.96,3.0,0,0.0,23
isi,3.96,3.0,8,67.0,14
dur,3.96,3.0,64,533.0,74
dur,3.96,3.0,64,533.0,48
dur,3.96,3.0,0,0.0,70
blank,3.96,3.0,0,0.0,46
isi,3.96,3.0,4,33.0,51
isi,3.96,3.0,64,533.0,2
dur,3.96,3.0,2,17.0,22
blank,3.96,3.0,0,0.0,62
blank,3.96,3.0,0,0.0,50
isi,3.96,3.0,2,17.0,13
blank,3.96,3.0,0,0.0,35
dur,3.96,3.0,16,134.0,56
dur,3.96,3.0,2,17.0,29
isi,3.96,3.0,4,33.0,33
isi,3.96,3.0,32,267.0,16
