type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,3.96,3.0,2,17.0,31
blank,3.96,3.0,0,0.0,70
isi,3.96,3.0,4,33.0,58
blank,3.96,3.0,0,0.0,46
dur,3.96,3.0,2,17.0,73
isi,3.96,3.0,32,267.0,9
blank,3.96,3.0,0,0.0,35
blank,3.96,3.0,0,0.0,57
isi,3.96,3.0,2,17.0,0
blank,3.96,3.0,0,0.0,28
dur,3.96,3.0,4,33.0,27
isi,3.96,3.0,8,67.0,38
blank,3.96,3.0,0,0.0,25
dur,3.96,3.0,32,267.0,60
isi,3.96,3.0,32,267.0,6
isi,3.96,3.0,16,134.0,41
isi,3.96,3.0,16,134.0,59
dur,3.96,3.0,4,33.0,36
dur,3.96,3.0,8,67.0,78
dur,3.96,3.0,0,0.0,37
dur,3.96,3.0,16,134.0,61
dur,3.96,3.0,16,134.0,52
blank,3.96,3.0,0,0.0,4
isi,3.96,3.0,64,533.0,30
dur,3.96,3.0,0,0.0,42
isi,3.96,3.0,2,17.0,12
dur,3.96,3.0,0,0.0,48
blank,3.96,3.0,0,0.0,2
isi,3.96,3.0,8,67.0,8
isi,3.96,3.0,64,533.0,15
blank,3.96,3.0,0,0.0,43
isi,3.96,3.0,2,17.0,18
isi,3.96,3.0,64,533.0,67
isi,3.96,3.0,8,67.0,62
isi,3.96,3.0,8,67.0,63
dur,3.96,3.0,0,0.0,20
dur,3.96,3.0,2,17.0,22
dur,3.96,3.0,32,267.0,11
dur,3.96,3.0,2,17.0,51
dur,3.96,3.0,2,17.0,13
dur,3.96,3.0,4,33.0,49
blank,3.96,3.0,0,0.0,39
dur,3.96,3.0,64,533.0,53
dur,3.96,3.0,16,134.0,7
dur,3.96,3.0,64,533.0,10
dur,3.96,3.0,8,67.0,3
dur,3.96,3.0,0,0.0,45
dur,3.96,3.0,32,267.0,23
isi,3.96,3.0,8,67.0,71
dur,3.96,3.0,8,67.0,47
dur,3.96,3.0,32,267.0,55
isi,3.96,3.0,4,33.0,21
isi,3.96,3.0,4,33.0,19
isi,3.96,3.0,16,134.0,40
isi,3.96,3.0,32,267.0,5
dur,3.96,3.0,64,533.0,14
blank,3.96,3.0,0,0.0,32
dur,3.96,3.0,32,267.0,74
dur,3.96,3.0,64,533.0,68
dur,3.96,3.0,64,533.0,66
isi,3.96,3.0,16,134.0,24
blank,3.96,3.0,0,0.0,16
dur,3.96,3.0,16,134.0,65
isi,3.96,3.0,2,17.0,56
isi,3.96,3.0,16,134.0,44
blank,3.96,3.0,0,0.0,29
blank,3.96,3.0,0,0.0,33
blank,3.96,3.0,0,0.0,64
dur,3.96,3.0,4,33.0,1
dur,3.96,3.0,8,67.0,75
isi,3.96,3.0,64,533.0,26
isi,3.96,3.0,32,267.0,50
dur,3.96,3.0,16,134.0,69
isi,3.96,3.0,4,33.0,54
isi,3.96,3.0,64,533.0,76
blank,3.96,3.0,0,0.0,17
dur,3.96,3.0,2,17.0,34
dur,3.96,3.0,8,67.0,72
blank,3.96,3.0,0,0.0,77
