type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,6.6000000000000005,5.0,16,134.0,0
isi,5.28,4.0,4,33.0,1
isi,10.56,8.0,4,33.0,2
isi,7.92,6.0,32,267.0,3
dur,3.96,3.0,4,33.0,4
dur,10.56,8.0,32,267.0,5
dur,7.92,6.0,2,17.0,6
dur,5.28,4.0,64,533.0,7
dur,3.96,3.0,8,67.0,8
dur,18.48,14.0,4,33.0,9
dur,5.28,4.0,0,0.0,10
dur,3.96,3.0,8,67.0,11
dur,5.28,4.0,16,134.0,12
dur,11.88,9.0,2,17.0,13
isi,9.24,7.0,32,267.0,14
isi,11.88,9.0,64,533.0,15
dur,6.6000000000000005,5.0,8,67.0,16
dur,6.6000000000000005,5.0,64,533.0,17
dur,3.96,3.0,32,267.0,18
isi,9.24,7.0,2,17.0,19
dur,6.6000000000000005,5.0,2,17.0,20
isi,3.96,3.0,2,17.0,21
dur,3.96,3.0,0,0.0,22
dur,5.28,4.0,0,0.0,23
isi,14.520000000000001,11.0,16,134.0,24
isi,7.92,6.0,4,33.0,25
isi,7.92,6.0,8,67.0,26
dur,3.96,3.0,32,267.0,27
dur,13.200000000000001,10.0,16,134.0,28
dur,5.28,4.0,16,134.0,29
isi,13.200000000000001,10.0,2,17.0,30
isi,3.96,3.0,8,67.0,31
isi,15.84,12.0,16,134.0,32
dur,3.96,3.0,64,533.0,33
isi,6.6000000000000005,5.0,64,533.0,34
dur,10.56,8.0,4,33.0,35
isi,9.24,7.0,8,67.0,36
isi,17.16,13.0,32,267.0,37
isi,5.28,4.0,64,533.0,38
