type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.96,3.0,64,533.0,0
dur,9.24,7.0,4,33.0,1
dur,9.24,7.0,0,0.0,2
isi,17.16,13.0,16,134.0,3
dur,5.28,4.0,64,533.0,4
isi,5.28,4.0,4,33.0,5
dur,6.6000000000000005,5.0,8,67.0,6
isi,10.56,8.0,64,533.0,7
isi,15.84,12.0,2,17.0,8
dur,13.200000000000001,10.0,16,134.0,9
isi,5.28,4.0,32,267.0,10
isi,11.88,9.0,64,533.0,11
dur,6.6000000000000005,5.0,4,33.0,12
isi,3.96,3.0,4,33.0,13
dur,5.28,4.0,2,17.0,14
dur,3.96,3.0,16,134.0,15
isi,6.6000000000000005,5.0,32,267.0,16
dur,7.92,6.0,32,267.0,17
dur,5.28,4.0,64,533.0,18
dur,9.24,7.0,2,17.0,19
isi,7.92,6.0,8,67.0,20
dur,7.92,6.0,8,67.0,21
dur,10.56,8.0,0,0.0,22
isi,3.96,3.0,2,17.0,23
isi,10.56,8.0,2,17.0,24
isi,3.96,3.0,8,67.0,25
isi,3.96,3.0,8,67.0,26
dur,3.96,3.0,32,267.0,27
dur,5.28,4.0,8,67.0,28
isi,13.200000000000001,10.0,16,134.0,29
dur,11.88,9.0,2,17.0,30
dur,18.48,14.0,0,0.0,31
isi,7.92,6.0,32,267.0,32
isi,6.6000000000000005,5.0,64,533.0,33
dur,14.520000000000001,11.0,16,134.0,34
dur,5.28,4.0,32,267.0,35
isi,3.96,3.0,16,134.0,36
isi,6.6000000000000005,5.0,4,33.0,37
dur,3.96,3.0,4,33.0,38
