trial_nr	onset	event_type	phase	response	nr_frames	subject	block	signal_present	signal_orientation	signal_opacity	correct	miniblock	blinkDuringTrial	RT	trial	confidence	key	RT_   0	onset_abs	duration
0	224.41007900238037	blockStart	0	-1	2118.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			238.6593770980835	56.03275513648987
0	280.44283413887024	baseline_window	1	-1	57.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0			294.69213223457336	1.5083668231964111
0	281.95120096206665	stimulus_window	2	-1	6.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	0.0	-1.0			296.2004990577698	0.19999313354492188
0	282.1511940956116	response_window	3	-1	46.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	0.0	-1.0			296.4004921913147	1.2081470489501953
0	283.35934114456177	feedback_window	4	-1	9.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	0.0	-1.0			297.6086392402649	0.30002498626708984
0	283.65936613082886	ITI_window	5	-1	19.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	0.0	-1.0			297.908664226532	0.6336269378662109
1	284.29299306869507	blockStart	0	-1	0.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0			298.5422911643982	0.002501964569091797
1	284.29549503326416	baseline_window	1	-1	18.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0			298.5447931289673	0.48898887634277344
1	284.78448390960693	stimulus_window	2	-1	6.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	1.0	-1.0			299.03378200531006	0.1913301944732666
1	284.9758141040802	response_window	3	-1	43.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	1.0	-1.0			299.2251121997833	1.208698034286499
1	286.1845121383667	feedback_window	4	-1	9.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	1.0	-1.0			300.4338102340698	0.3001258373260498
1	286.48463797569275	ITI_window	5	-1	24.0	01	0.0	0.0	0.0	0.0	-1.0	0.0	1.0	-1.0	1.0	-1.0			300.7339360713959	0.7661480903625488
2	287.2507860660553	blockStart	0	-1	0.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0			301.5000841617584	0.002585887908935547
2	287.25337195396423	baseline_window	1	-1	19.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0			301.50267004966736	0.4889981746673584
2	287.7423701286316	stimulus_window	2	-1	7.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	1.0	-1.0	2.0	-1.0			301.9916682243347	0.20023679733276367
2	287.94260692596436	response_window	3	-1	7.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	1.0	-1.0	2.0	-1.0			302.1919050216675	0.19188714027404785
2	288.0959300994873	response	3	0	7						1.0			0.3535599708557129		1.0	1		302.34522819519043	
2	288.1344940662384	feedback_window	4	0	10.0	01	0.0	0.0	1.0	0.0	1.0	0.0	1.0		2.0	1.0		0.3535599708557129	302.3837921619415	0.3078620433807373
2	288.44235610961914	ITI_window	5	0	30.0	01	0.0	0.0	1.0	0.0	1.0	0.0	1.0		2.0	1.0		0.3535599708557129	302.69165420532227	0.8334150314331055
3	289.27577114105225	blockStart	0	-1	0.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0			303.52506923675537	0.0026388168334960938
3	289.27840995788574	baseline_window	1	-1	18.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0			303.52770805358887	0.4727439880371094
3	289.75115394592285	stimulus_window	2	-1	6.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	1.0	-1.0	3.0	-1.0			304.000452041626	0.19122910499572754
3	289.9423830509186	response_window	3	-1	9.0	01	0.0	0.0	1.0	0.0	-1.0	0.0	1.0	-1.0	3.0	-1.0			304.1916811466217	0.24210786819458008
3	290.14620208740234	response	3	0	9						1.0			0.3950481414794922		1.0	1		304.39550018310547	
3	290.18449091911316	feedback_window	4	0	10.0	01	0.0	0.0	1.0	0.0	1.0	0.0	1.0		3.0	1.0		0.3950481414794922	304.4337890148163	0.3082141876220703
3	290.49270510673523	ITI_window	5	0	21.0	01	0.0	0.0	1.0	0.0	1.0	0.0	1.0		3.0	1.0		0.3950481414794922	304.74200320243835	0.6415379047393799
4	291.1342430114746	blockStart	0	-1	0.0	01	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0			305.38354110717773	0.002501964569091797
4	291.1367449760437	baseline_window	1	-1	19.0	01	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0			305.3860430717468	0.4977149963378906
4	291.6344599723816	stimulus_window	2	-1	6.0	01	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0			305.8837580680847	0.19178414344787598
4	291.82624411582947	response_window	3	-1	14.0	01	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	1.0	-1.0	4.0	-1.0			306.0755422115326	0.36637091636657715
