trial_nr	onset	event_type	phase	response	nr_frames	subject	block	signal_present	signal_orientation	signal_opacity	correct	miniblock	blinkDuringTrial	RT	trial	confidence	onset_abs	duration
0	0.039443016052246094	blockStart	0	-1	51	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	6.4610419273376465	1.2811071872711182
0	1.3205502033233643	baseline_window	1	-1	61	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	7.742149114608765	1.5173678398132324
0	2.8379180431365967	stimulus_window	2	-1	9	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	9.259516954421997	0.20241904258728027
0	3.040337085723877	response_window	3	-1	49	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	9.461935997009277	1.181169033050537
0	4.221506118774414	feedback_window	4	-1	13	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	10.643105030059814	0.30257105827331543
0	4.5240771770477295	ITI_window	5	-1	27	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	10.94567608833313	0.6761288642883301
1	5.20020604133606	blockStart	0	-1	0	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	11.62180495262146	0.002885103225708008
1	5.203091144561768	baseline_window	1	-1	20	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	11.624690055847168	0.46880388259887695
1	5.6718950271606445	stimulus_window	2	-1	8	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	12.093493938446045	0.2024979591369629
1	5.874392986297607	response_window	3	-1	47	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	12.295991897583008	1.1811320781707764
1	7.055525064468384	feedback_window	4	-1	13	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	13.477123975753784	0.3194420337677002
1	7.374967098236084	ITI_window	5	-1	31	99	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	13.796566009521484	0.7762980461120605
2	8.151265144348145	blockStart	0	-1	0	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0	14.572864055633545	0.002682924270629883
2	8.153948068618774	baseline_window	1	-1	21	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0	14.575546979904175	0.48804593086242676
2	8.641993999481201	stimulus_window	2	-1	8	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0	15.063592910766602	0.20229697227478027
2	8.844290971755981	response_window	3	-1	47	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0	15.265889883041382	1.1788990497589111
2	10.023190021514893	feedback_window	4	-1	13	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0	16.444788932800293	0.30492305755615234
2	10.328113079071045	ITI_window	5	-1	33	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	2.0	-1.0	16.749711990356445	0.830146074295044
3	11.158259153366089	blockStart	0	-1	0	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0	17.57985806465149	0.0029268264770507812
3	11.16118597984314	baseline_window	1	-1	21	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0	17.58278489112854	0.4817030429840088
3	11.642889022827148	stimulus_window	2	-1	8	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0	18.06448793411255	0.2023639678955078
3	11.845252990722656	response_window	3	-1	60	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0	18.266851902008057	1.2076489925384521
3	13.052901983261108	feedback_window	4	-1	11	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0	19.47450089454651	0.26836204528808594
3	13.321264028549194	ITI_window	5	-1	39	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	3.0	-1.0	19.742862939834595	0.6520359516143799
4	13.973299980163574	blockStart	0	-1	0	99	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0	20.394898891448975	0.0028281211853027344
4	13.976128101348877	baseline_window	1	-1	22	99	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0	20.397727012634277	0.5024158954620361
4	14.478543996810913	stimulus_window	2	-1	11	99	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0	20.900142908096313	0.18588709831237793
4	14.664431095123291	response_window	3	-1	72	99	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0	21.08603000640869	1.1991260051727295
4	15.86355710029602	feedback_window	4	-1	18	99	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0	22.28515601158142	0.29995107650756836
4	16.16350817680359	ITI_window	5	-1	37	99	0.0	1.0	0.0	0.010000000000000002	-1.0	0.0	0.0	-1.0	4.0	-1.0	22.58510708808899	0.6354899406433105
5	16.7989981174469	blockStart	0	-1	0	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0	23.2205970287323	0.002686023712158203
5	16.801684141159058	baseline_window	1	-1	30	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0	23.223283052444458	0.4974789619445801
5	17.299163103103638	stimulus_window	2	-1	12	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0	23.720762014389038	0.199721097946167
5	17.498884201049805	response_window	3	-1	72	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0	23.920483112335205	1.1997718811035156
5	18.69865608215332	feedback_window	4	-1	18	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0	25.12025499343872	0.30007290840148926
5	18.99872899055481	ITI_window	5	-1	36	99	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	-1.0	5.0	-1.0	25.42032790184021	0.8598921298980713
6	19.85862112045288	blockStart	0	-1	0	99	0.0	1.0	1.0	0.015000000000000003	-1.0	0.0	0.0	-1.0	6.0	-1.0	26.28022003173828	0.0029718875885009766
6	19.861593008041382	baseline_window	1	-1	29	99	0.0	1.0	1.0	0.015000000000000003	-1.0	0.0	0.0	-1.0	6.0	-1.0	26.283191919326782	0.4799470901489258
6	20.341540098190308	stimulus_window	2	-1	12	99	0.0	1.0	1.0	0.015000000000000003	-1.0	0.0	0.0	-1.0	6.0	-1.0	26.763139009475708	0.19970488548278809
6	20.541244983673096	response_window	3	-1	72	99	0.0	1.0	1.0	0.015000000000000003	-1.0	0.0	0.0	-1.0	6.0	-1.0	26.962843894958496	1.200103998184204
6	21.7413489818573	feedback_window	4	-1	18	99	0.0	1.0	1.0	0.015000000000000003	-1.0	0.0	0.0	-1.0	6.0	-1.0	28.1629478931427	0.2998511791229248
6	22.041200160980225	ITI_window	5	-1	4	99	0.0	1.0	1.0	0.015000000000000003	-1.0	0.0	0.0	-1.0	6.0	-1.0	28.462799072265625	0.06673097610473633
