trial_nr	onset	event_type	phase	response	nr_frames	subject	block	signal_present	signal_orientation	signal_opacity	correct	miniblock	blinkDuringTrial	RT	trial	confidence	onset_abs	duration
0	0.03943777084350586	blockStart	0	-1	43	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	6.558459758758545	1.0457792282104492
0	1.085216999053955	baseline_window	1	-1	60	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	7.604238986968994	1.5165839195251465
0	2.6018009185791016	stimulus_window	2	-1	9	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	9.12082290649414	0.2025740146636963
0	2.804374933242798	response_window	3	-1	48	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	9.323396921157837	1.197977066040039
0	4.002351999282837	feedback_window	4	-1	14	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	10.521373987197876	0.2854487895965576
0	4.2878007888793945	ITI_window	5	-1	29	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	0.0	-1.0	10.806822776794434	0.6909751892089844
1	4.978775978088379	blockStart	0	-1	0	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	11.497797966003418	0.003016948699951172
1	4.98179292678833	baseline_window	1	-1	20	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	11.50081491470337	0.4711179733276367
1	5.452910900115967	stimulus_window	2	-1	7	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	11.971932888031006	0.1666560173034668
1	5.619566917419434	response_window	3	-1	49	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	12.138588905334473	1.2146389484405518
1	6.834205865859985	feedback_window	4	-1	13	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	13.353227853775024	0.3049600124359131
1	7.139165878295898	ITI_window	5	-1	24	999	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	1.0	-1.0	13.658187866210938	0.5738470554351807
