trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_dur	oneOverF_texture_path	dot_color_timings_   0	dot_color_timings_   1	dot_color_timings_   2	dot_color_timings_   3	dot_color_timings_   4	dot_color_timings_   5	dot_color_timings_   6	dot_color_timings_   7	dot_color_timings_   8	dot_color_timings_   9	dot_color_timings_  10	dot_color_timings_  11	dot_color_timings_  12	dot_color_timings_  13	dot_color_timings_  14	dot_color_timings_  15	dot_color_timings_  16	dot_color_timings_  17	dot_color_timings_  18	dot_color_timings_  19	dot_color_timings_  20	dot_color_timings_  21	dot_color_timings_  22	dot_color_timings_  23	dot_color_timings_  24	dot_color_timings_  25	dot_color_timings_  26	dot_color_timings_  27	dot_color_timings_  28	dot_color_timings_  29	dot_color_timings_  30	dot_color_timings_  31	dot_color_timings_  32	dot_color_timings_  33	dot_color_timings_  34	dot_color_timings_  35	dot_color_timings_  36	dot_color_timings_  37	dot_color_timings_  38	dot_color_timings_  39	dot_color_timings_  40	dot_color_timings_  41	dot_color_timings_  42	dot_color_timings_  43	dot_color_timings_  44	dot_color_timings_  45	dot_color_timings_  46	dot_color_timings_  47	dot_color_timings_  48	dot_color_timings_  49	dot_color_timings_  50	dot_color_timings_  51	dot_color_timings_  52	dot_color_timings_  53	dot_color_timings_  54	dot_color_timings_  55	dot_color_timings_  56	dot_color_timings_  57	dot_color_timings_  58	dot_color_timings_  59	dot_color_timings_  60	dot_color_timings_  61	dot_color_timings_  62	dot_color_timings_  63	dot_color_timings_  64	dot_color_timings_  65	dot_color_timings_  66	dot_color_timings_  67	dot_color_timings_  68	dot_color_timings_  69	dot_color_timings_  70	dot_color_timings_  71	dot_color_timings_  72	dot_color_timings_  73	dot_color_timings_  74	dot_color_timings_  75	dot_color_timings_  76	dot_color_timings_  77	dot_color_timings_  78	dot_color_timings_  79	dot_color_timings_  80	dot_color_timings_  81	dot_color_timings_  82	dot_color_timings_  83	dot_color_timings_  84	dot_color_timings_  85	dot_color_timings_  86	dot_color_timings_  87	dot_color_timings_  88	dot_color_timings_  89	dot_color_timings_  90	dot_color_timings_  91	dot_color_timings_  92	dot_color_timings_  93	dot_color_timings_  94	dot_color_timings_  95	dot_color_timings_  96	dot_color_timings_  97	dot_color_timings_  98	dot_color_timings_  99	dot_color_timings_ 100	dot_color_timings_ 101	onset_abs	duration
0	0.00021409988403320312	pulse	0	t		dur	0.0	./textures/oneOverF_texture_1_1024_1.bmp	265.0	784.0	1137.0	1549.0	1947.0	2546.0	2814.0	3192.0	3637.0	4037.0	4574.0	5038.0	5311.0	5764.0	6304.0	6699.0	7081.0	7506.0	8025.0	8253.0	8702.0	9264.0	9626.0	9924.0	10548.0	10897.0	11356.0	11671.0	12164.0	12627.0	12859.0	13399.0	13700.0	14258.0	14552.0	14970.0	15526.0	15957.0	16219.0	16834.0	17128.0	17595.0	18002.0	18372.0	18753.0	19208.0	19619.0	20047.0	20460.0	20980.0	21250.0	21808.0	22286.0	22519.0	23130.0	23497.0	23985.0	24412.0	24623.0	25228.0	25645.0	26090.0	26441.0	26758.0	27147.0	27736.0	28086.0	28566.0	28861.0	29439.0	29849.0	30180.0	30706.0	31019.0	31465.0	31822.0	32361.0	32803.0	33157.0	33484.0	33945.0	34420.0	34694.0	35326.0	35599.0	35997.0	36537.0	36898.0	37312.0	37774.0	38250.0	38535.0	38898.0	39521.0	39940.0	40158.0	40634.0	41159.0	41606.0	41847.0	42348.0	42736.0	12.410736083984375	
0	0.17165112495422363	stim	0		0.0	dur	0.0	./textures/oneOverF_texture_1_1024_1.bmp	265	784	1137	1549	1947	2546	2814	3192	3637	4037	4574	5038	5311	5764	6304	6699	7081	7506	8025	8253	8702	9264	9626	9924	10548	10897	11356	11671	12164	12627	12859	13399	13700	14258	14552	14970	15526	15957	16219	16834	17128	17595	18002	18372	18753	19208	19619	20047	20460	20980	21250	21808	22286	22519	23130	23497	23985	24412	24623	25228	25645	26090	26441	26758	27147	27736	28086	28566	28861	29439	29849	30180	30706	31019	31465	31822	32361	32803	33157	33484	33945	34420	34694	35326	35599	35997	36537	36898	37312	37774	38250	38535	38898	39521	39940	40158	40634	41159	41606	41847	42348	42736	12.582173109054565	0.025383949279785156
0	0.1970350742340088	stim	1		0.0	dur	0.0	./textures/oneOverF_texture_1_1024_1.bmp	265	784	1137	1549	1947	2546	2814	3192	3637	4037	4574	5038	5311	5764	6304	6699	7081	7506	8025	8253	8702	9264	9626	9924	10548	10897	11356	11671	12164	12627	12859	13399	13700	14258	14552	14970	15526	15957	16219	16834	17128	17595	18002	18372	18753	19208	19619	20047	20460	20980	21250	21808	22286	22519	23130	23497	23985	24412	24623	25228	25645	26090	26441	26758	27147	27736	28086	28566	28861	29439	29849	30180	30706	31019	31465	31822	32361	32803	33157	33484	33945	34420	34694	35326	35599	35997	36537	36898	37312	37774	38250	38535	38898	39521	39940	40158	40634	41159	41606	41847	42348	42736	12.60755705833435	0.015085935592651367
0	0.21212100982666016	stim	2		384.0	dur	0.0	./textures/oneOverF_texture_1_1024_1.bmp	265	784	1137	1549	1947	2546	2814	3192	3637	4037	4574	5038	5311	5764	6304	6699	7081	7506	8025	8253	8702	9264	9626	9924	10548	10897	11356	11671	12164	12627	12859	13399	13700	14258	14552	14970	15526	15957	16219	16834	17128	17595	18002	18372	18753	19208	19619	20047	20460	20980	21250	21808	22286	22519	23130	23497	23985	24412	24623	25228	25645	26090	26441	26758	27147	27736	28086	28566	28861	29439	29849	30180	30706	31019	31465	31822	32361	32803	33157	33484	33945	34420	34694	35326	35599	35997	36537	36898	37312	37774	38250	38535	38898	39521	39940	40158	40634	41159	41606	41847	42348	42736	12.622642993927002	2.6689400672912598
0	1.3302061557769775	pulse	2	t		dur	0.0	./textures/oneOverF_texture_1_1024_1.bmp	265	784	1137	1549	1947	2546	2814	3192	3637	4037	4574	5038	5311	5764	6304	6699	7081	7506	8025	8253	8702	9264	9626	9924	10548	10897	11356	11671	12164	12627	12859	13399	13700	14258	14552	14970	15526	15957	16219	16834	17128	17595	18002	18372	18753	19208	19619	20047	20460	20980	21250	21808	22286	22519	23130	23497	23985	24412	24623	25228	25645	26090	26441	26758	27147	27736	28086	28566	28861	29439	29849	30180	30706	31019	31465	31822	32361	32803	33157	33484	33945	34420	34694	35326	35599	35997	36537	36898	37312	37774	38250	38535	38898	39521	39940	40158	40634	41159	41606	41847	42348	42736	13.74072813987732	
0	2.6602060794830322	pulse	2	t		dur	0.0	./textures/oneOverF_texture_1_1024_1.bmp	265	784	1137	1549	1947	2546	2814	3192	3637	4037	4574	5038	5311	5764	6304	6699	7081	7506	8025	8253	8702	9264	9626	9924	10548	10897	11356	11671	12164	12627	12859	13399	13700	14258	14552	14970	15526	15957	16219	16834	17128	17595	18002	18372	18753	19208	19619	20047	20460	20980	21250	21808	22286	22519	23130	23497	23985	24412	24623	25228	25645	26090	26441	26758	27147	27736	28086	28566	28861	29439	29849	30180	30706	31019	31465	31822	32361	32803	33157	33484	33945	34420	34694	35326	35599	35997	36537	36898	37312	37774	38250	38535	38898	39521	39940	40158	40634	41159	41606	41847	42348	42736	15.070728063583374	
1	2.88106107711792	stim	0		0.0	isi	2.0	./textures/oneOverF_texture_1_1024_6.bmp	409	842	1081	1719	1978	2514	2888	3257	3732	4083	4511	4923	5453	5845	6221	6620	6994	7512	7962	8365	8764	9249	9591	10066	10409	10789	11336	11684	12139	12462	13036	13383	13870	14194	14540	15135	15422	15818	16346	16767	17219	17645	18036	18471	18956	19267	19605	20117	20401	21027	21470	21769	22318	22725	23007	23440	23930	24207	24602	25169	25668	25867	26427	26813	27292	27706	28041	28615	28835	29365	29728	30220	30658	30906	31426	31758	32317	32676	33015	33590	33904	34363	34885	35272	35555	36058	36560	36826	37258	37678	38110	38473	38945	39345	39745	40317	40739	41020	41554	41984	42478	42868	15.291583061218262	0.01459193229675293
1	2.895653009414673	stim	1		96.0	isi	2.0	./textures/oneOverF_texture_1_1024_6.bmp	409	842	1081	1719	1978	2514	2888	3257	3732	4083	4511	4923	5453	5845	6221	6620	6994	7512	7962	8365	8764	9249	9591	10066	10409	10789	11336	11684	12139	12462	13036	13383	13870	14194	14540	15135	15422	15818	16346	16767	17219	17645	18036	18471	18956	19267	19605	20117	20401	21027	21470	21769	22318	22725	23007	23440	23930	24207	24602	25169	25668	25867	26427	26813	27292	27706	28041	28615	28835	29365	29728	30220	30658	30906	31426	31758	32317	32676	33015	33590	33904	34363	34885	35272	35555	36058	36560	36826	37258	37678	38110	38473	38945	39345	39745	40317	40739	41020	41554	41984	42478	42868	15.306174993515015	0.043827056884765625
1	2.9394800662994385	stim	2		384.0	isi	2.0	./textures/oneOverF_texture_1_1024_6.bmp	409	842	1081	1719	1978	2514	2888	3257	3732	4083	4511	4923	5453	5845	6221	6620	6994	7512	7962	8365	8764	9249	9591	10066	10409	10789	11336	11684	12139	12462	13036	13383	13870	14194	14540	15135	15422	15818	16346	16767	17219	17645	18036	18471	18956	19267	19605	20117	20401	21027	21470	21769	22318	22725	23007	23440	23930	24207	24602	25169	25668	25867	26427	26813	27292	27706	28041	28615	28835	29365	29728	30220	30658	30906	31426	31758	32317	32676	33015	33590	33904	34363	34885	35272	35555	36058	36560	36826	37258	37678	38110	38473	38945	39345	39745	40317	40739	41020	41554	41984	42478	42868	15.35000205039978	2.675297975540161
1	3.9902122020721436	pulse	2	t		isi	2.0	./textures/oneOverF_texture_1_1024_6.bmp	409	842	1081	1719	1978	2514	2888	3257	3732	4083	4511	4923	5453	5845	6221	6620	6994	7512	7962	8365	8764	9249	9591	10066	10409	10789	11336	11684	12139	12462	13036	13383	13870	14194	14540	15135	15422	15818	16346	16767	17219	17645	18036	18471	18956	19267	19605	20117	20401	21027	21470	21769	22318	22725	23007	23440	23930	24207	24602	25169	25668	25867	26427	26813	27292	27706	28041	28615	28835	29365	29728	30220	30658	30906	31426	31758	32317	32676	33015	33590	33904	34363	34885	35272	35555	36058	36560	36826	37258	37678	38110	38473	38945	39345	39745	40317	40739	41020	41554	41984	42478	42868	16.400734186172485	
