trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_dur	oneOverF_texture_path	onset_abs	duration
0	0.018766164779663086	stim	0		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	12.010821342468262	2.274332046508789
0	2.285112142562866	pulse	0	t		isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	14.277167320251465	
0	2.293098211288452	stim	1		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	14.28515338897705	0.8002338409423828
0	3.093332052230835	stim	2		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	15.085387229919434	5.125000953674316
0	5.743715047836304	pulse	2	t		isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	17.735770225524902	
0	8.076701164245605	pulse	2	t		isi	16.0	./textures/rms/oneOverF_texture_1_1024_52.bmp	20.068756341934204	
1	8.218333005905151	stim	0		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_83.bmp	20.21038818359375	1.8163161277770996
1	10.026723146438599	pulse	0	t		isi	16.0	./textures/rms/oneOverF_texture_1_1024_83.bmp	22.018778324127197	
1	10.034649133682251	stim	1		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_83.bmp	22.02670431137085	0.8003129959106445
1	10.834962129592896	stim	2		0	isi	16.0	./textures/rms/oneOverF_texture_1_1024_83.bmp	22.827017307281494	6.441588878631592
2	17.276551008224487	stim	0		0	isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	29.268606185913086	12.039626121520996
2	29.308012008666992	pulse	0	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	41.30006718635559	
2	29.316177129745483	stim	1		0	isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	41.30823230743408	0.8000400066375732
2	30.116217136383057	stim	2		0	isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	42.108272314071655	10.393513917922974
2	31.249789237976074	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	43.24184441566467	
2	33.55795121192932	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	45.55000638961792	
2	34.057876110076904	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	46.0499312877655	
2	36.07457518577576	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	48.066630363464355	
2	36.51624417304993	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	48.508299350738525	
2	38.893118143081665	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_55.bmp	50.885173320770264	
3	40.50973105430603	stim	0		0	isi	2.0	./textures/rms/oneOverF_texture_1_1024_84.bmp	52.50178623199463	0.958057165145874
3	41.459816217422485	pulse	0	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_84.bmp	53.451871395111084	
3	41.467788219451904	stim	1		0	isi	2.0	./textures/rms/oneOverF_texture_1_1024_84.bmp	53.4598433971405	0.8002679347991943
3	42.2680561542511	stim	2		0	isi	2.0	./textures/rms/oneOverF_texture_1_1024_84.bmp	54.2601113319397	7.75824499130249
3	44.18482518196106	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_84.bmp	56.17688035964966	
3	48.38475012779236	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_84.bmp	60.37680530548096	
3	48.934736013412476	pulse	2	t		isi	2.0	./textures/rms/oneOverF_texture_1_1024_84.bmp	60.926791191101074	
4	50.02630114555359	stim	0		0	dur	8.0	./textures/rms/oneOverF_texture_1_1024_29.bmp	62.01835632324219	1.6664149761199951
4	51.68471908569336	pulse	0	t		dur	8.0	./textures/rms/oneOverF_texture_1_1024_29.bmp	63.67677426338196	
4	51.692716121673584	stim	1		0	dur	8.0	./textures/rms/oneOverF_texture_1_1024_29.bmp	63.68477129936218	0.8002591133117676
4	52.49297523498535	stim	2		0	dur	8.0	./textures/rms/oneOverF_texture_1_1024_29.bmp	64.48503041267395	5.124927997589111
5	57.61790323257446	stim	0		0	dur	16.0	./textures/rms/oneOverF_texture_1_1024_27.bmp	69.60995841026306	0.4497349262237549
5	58.05971312522888	pulse	0	t		dur	16.0	./textures/rms/oneOverF_texture_1_1024_27.bmp	70.05176830291748	
5	58.06763815879822	stim	1		0	dur	16.0	./textures/rms/oneOverF_texture_1_1024_27.bmp	70.05969333648682	0.8002569675445557
5	58.86789512634277	stim	2		0	dur	16.0	./textures/rms/oneOverF_texture_1_1024_27.bmp	70.85995030403137	3.8082969188690186
5	62.22628903388977	pulse	2	t		dur	16.0	./textures/rms/oneOverF_texture_1_1024_27.bmp	74.21834421157837	
6	62.67619204521179	stim	0		0	dur	32.0	./textures/rms/oneOverF_texture_1_1024_20.bmp	74.66824722290039	1.3330650329589844
6	64.00125503540039	pulse	0	t		dur	32.0	./textures/rms/oneOverF_texture_1_1024_20.bmp	75.99331021308899	
6	64.00925707817078	stim	1		0	dur	32.0	./textures/rms/oneOverF_texture_1_1024_20.bmp	76.00131225585938	0.8002779483795166
6	64.8095350265503	stim	2		0	dur	32.0	./textures/rms/oneOverF_texture_1_1024_20.bmp	76.80159020423889	3.8083109855651855
6	66.4430160522461	pulse	2	t		dur	32.0	./textures/rms/oneOverF_texture_1_1024_20.bmp	78.43507122993469	
6	68.3679130077362	pulse	2	t		dur	32.0	./textures/rms/oneOverF_texture_1_1024_20.bmp	80.3599681854248	
7	68.61784601211548	stim	0		0	dur	2.0	./textures/rms/oneOverF_texture_1_1024_15.bmp	80.60990118980408	1.7413561344146729
7	70.35121512413025	pulse	0	t		dur	2.0	./textures/rms/oneOverF_texture_1_1024_15.bmp	82.34327030181885	
7	70.35920214653015	stim	1		0	dur	2.0	./textures/rms/oneOverF_texture_1_1024_15.bmp	82.35125732421875	0.8002619743347168
7	71.15946412086487	stim	2		229	dur	2.0	./textures/rms/oneOverF_texture_1_1024_15.bmp	83.15151929855347	1.9166491031646729
7	71.77658605575562	pulse	2	t		dur	2.0	./textures/rms/oneOverF_texture_1_1024_15.bmp	83.76864123344421	
7	72.79286313056946	response	2	lctrl		dur	2.0	./textures/rms/oneOverF_texture_1_1024_15.bmp	84.78491830825806	
