trial_nr	onset	event_type	phase	response	nr_frames	trial_type	stim_dur	oneOverF_texture_path	onset_abs	duration
999	0.006443977355957031	stim	0		0	dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	40.685450077056885	0.0031328201293945312
999	0.009576797485351562	stim	1		0	dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	40.68858289718628	0.001157999038696289
999	0.010734796524047852	stim	2		0	dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	40.689740896224976	13.99557614326477
999	1.3148589134216309	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	41.99386501312256	
999	2.631525993347168	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	43.310532093048096	
999	3.9481539726257324	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	44.62716007232666	
999	4.198156833648682	response	2	b		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	44.87716293334961	
999	5.26469087600708	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	45.94369697570801	
999	6.5814290046691895	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	47.26043510437012	
999	7.898047924041748	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	48.577054023742676	
999	8.081419944763184	response	2	b		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	48.76042604446411	
999	9.2149178981781	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	49.89392399787903	
999	10.531449794769287	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	51.210455894470215	
999	11.84811782836914	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	52.52712392807007	
999	13.164721965789795	pulse	2	t		dur	0.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	53.84372806549072	
0	14.006310939788818	stim	0		0	dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	54.685317039489746	0.48328089714050293
0	14.48129677772522	pulse	0	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	55.16030287742615	
0	14.489591836929321	stim	1		0	dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	55.16859793663025	0.8000259399414062
0	15.289617776870728	stim	2		0	dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	55.968623876571655	5.1249730587005615
0	15.798093795776367	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	56.477099895477295	
0	17.114807844161987	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	57.793813943862915	
0	18.439713954925537	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	59.118720054626465	
0	19.073121786117554	response	2	b		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	59.75212788581848	
0	19.75632882118225	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_47.bmp	60.43533492088318	
1	20.41459083557129	stim	0		0	dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	61.09359693527222	0.6666810512542725
1	21.073088884353638	pulse	0	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	61.752094984054565	
1	21.08127188682556	stim	1		0	dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	61.76027798652649	0.7999789714813232
1	21.881250858306885	stim	2		0	dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	62.56025695800781	11.708615064620972
1	22.389636993408203	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	63.06864309310913	
1	23.70628786087036	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	64.38529396057129	
1	24.05636477470398	response	2	b		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	64.73537087440491	
1	25.022947788238525	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	65.70195388793945	
1	26.339675903320312	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	67.01868200302124	
1	27.65627694129944	pulse	2	t		dur	8.0	./textures/minmax/oneOverF_texture_1_1024_96.bmp	68.33528304100037	
