trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.12487006187438965	stim	0		119	27.9168860912323	0.9918129444122314
0	1.116683006286621	stim	1		65	28.90869903564453	0.5415041446685791
0	1.6581871509552002	stim	2		64	29.45020318031311	0.5327370166778564
0	2.1909241676330566	stim	3		60	29.982940196990967	0.5002079010009766
0	2.691132068634033	stim	4		360	30.483148097991943	2.999932050704956
0	5.691064119338989	stim	5		60	33.4830801486969	0.5000190734863281
1	6.191083192825317	stim	0		120	33.98309922218323	0.9999749660491943
1	7.191058158874512	stim	1		78	34.98307418823242	0.6497058868408203
1	7.840764045715332	stim	2		32	35.63278007507324	0.26676106452941895
1	8.107525110244751	stim	3		60	35.89954113960266	0.5001890659332275
1	8.607714176177979	stim	4		360	36.39973020553589	3.0558409690856934
1	11.663555145263672	stim	5		60	39.45557117462158	0.49994587898254395
2	12.163501024246216	stim	0		120	39.955517053604126	1.0000360012054443
2	12.213699102401733	response	0	num_add		40.005715131759644	
2	12.213797092437744	response	0	num_multiply		40.005813121795654	
2	13.16353702545166	stim	1		55	40.95555305480957	0.45828819274902344
2	13.621825218200684	stim	2		16	41.413841247558594	0.13334083557128906
2	13.755166053771973	stim	3		60	41.54718208312988	0.5000290870666504
2	13.81364917755127	response	3	space		41.60566520690918	
2	13.93028712272644	response	3	space		41.72230315208435	
2	14.255195140838623	stim	4		22	42.04721117019653	0.26679086685180664
2	14.421926021575928	response	4	space		42.21394205093384	
2	14.52198600769043	stim	5		60	42.31400203704834	0.4999511241912842
3	15.021937131881714	stim	0		120	42.813953161239624	0.9999349117279053
3	16.02187204360962	stim	1		55	43.81388807296753	0.45834803581237793
3	16.480220079421997	stim	2		146	44.27223610877991	1.2249410152435303
3	17.38021421432495	response	2	lctrl		45.17223024368286	
