trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
0	0.0054509639739990234	stim	0		119	2.259521961212158	0.9905641078948975
0	0.9960150718688965	stim	1		16	3.2500860691070557	0.1332108974456787
0	1.1292259693145752	stim	2		84	3.3832969665527344	0.9505059719085693
0	2.0797319412231445	stim	3		240	4.333802938461304	1.9999029636383057
1	4.07963490486145	stim	0		120	6.333705902099609	1.0001990795135498
1	5.079833984375	stim	1		32	7.333904981613159	0.2667069435119629
1	5.346540927886963	stim	2		64	7.600611925125122	0.8667421340942383
1	6.213283061981201	stim	3		240	8.46735405921936	2.000316858291626
2	8.213599920272827	stim	0		120	10.467670917510986	1.001147985458374
2	9.214747905731201	stim	1		64	11.46881890296936	0.5329999923706055
2	9.747747898101807	stim	2		78	12.001818895339966	1.1172740459442139
2	10.86502194404602	stim	3		240	13.11909294128418	2.0003039836883545
3	12.865325927734375	stim	0		120	15.119396924972534	1.0003750324249268
3	13.865700960159302	stim	1		128	16.11977195739746	1.0661511421203613
3	14.931852102279663	stim	2		68	17.185923099517822	1.175611972808838
3	16.1074640750885	stim	3		240	18.36153507232666	2.0002670288085938
4	18.107731103897095	stim	0		120	20.361802101135254	1.000337839126587
4	19.10806894302368	stim	1		256	21.36213994026184	2.1330299377441406
4	21.241098880767822	stim	2		42	23.49516987800598	1.6089670658111572
4	22.85006594657898	stim	3		240	25.10413694381714	2.0003089904785156
5	24.850374937057495	stim	0		120	27.104445934295654	1.0003480911254883
5	25.850723028182983	stim	1		512	28.104794025421143	4.266618967056274
5	30.117341995239258	stim	2		77	32.37141299247742	3.300900936126709
5	33.41824293136597	stim	3		240	35.672313928604126	2.000322103500366
6	35.41856503486633	stim	0		120	37.67263603210449	1.000364065170288
6	36.41892910003662	stim	1		1024	38.67300009727478	8.533873796463013
6	44.952802896499634	stim	2		68	47.20687389373779	4.642794132232666
6	49.5955970287323	stim	3		240	51.84966802597046	2.0002758502960205
7	51.59587287902832	stim	0		120	53.84994387626648	1.0003001689910889
7	52.59617304801941	stim	1		16	54.85024404525757	0.1327369213104248
7	52.728909969329834	stim	2		132	54.98298096656799	1.3339509963989258
7	54.06286096572876	stim	3		240	56.31693196296692	2.000272035598755
8	56.063133001327515	stim	0		120	58.317203998565674	1.0004138946533203
8	57.063546895980835	stim	1		32	59.317617893218994	0.2660031318664551
8	57.32955002784729	stim	2		70	59.58362102508545	0.9255740642547607
8	58.25512409210205	stim	3		240	60.50919508934021	2.0003199577331543
9	60.255444049835205	stim	0		120	62.509515047073364	1.000316858291626
9	61.25576090812683	stim	1		64	63.50983190536499	0.5327591896057129
9	61.788520097732544	stim	2		54	64.0425910949707	1.0672709941864014
9	62.855791091918945	stim	3		240	65.1098620891571	2.000274896621704
