type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.96,3.0,4,33.0,0
dur,3.96,3.0,16,134.0,1
dur,3.96,3.0,64,533.0,2
isi,3.96,3.0,2,17.0,3
dur,3.96,3.0,0,0.0,4
isi,3.96,3.0,32,267.0,5
dur,3.96,3.0,0,0.0,6
dur,3.96,3.0,4,33.0,7
dur,3.96,3.0,16,134.0,8
dur,3.96,3.0,32,267.0,9
dur,3.96,3.0,64,533.0,10
isi,3.96,3.0,64,533.0,11
dur,3.96,3.0,4,33.0,12
dur,3.96,3.0,2,17.0,13
dur,3.96,3.0,8,67.0,14
isi,3.96,3.0,4,33.0,15
isi,3.96,3.0,64,533.0,16
dur,3.96,3.0,8,67.0,17
dur,3.96,3.0,8,67.0,18
dur,3.96,3.0,0,0.0,19
isi,3.96,3.0,4,33.0,20
dur,3.96,3.0,32,267.0,21
dur,3.96,3.0,2,17.0,22
dur,3.96,3.0,4,33.0,23
dur,3.96,3.0,64,533.0,24
dur,3.96,3.0,32,267.0,25
isi,3.96,3.0,8,67.0,26
isi,3.96,3.0,2,17.0,27
isi,3.96,3.0,2,17.0,28
isi,3.96,3.0,8,67.0,29
isi,3.96,3.0,16,134.0,30
isi,3.96,3.0,4,33.0,31
isi,3.96,3.0,64,533.0,32
isi,3.96,3.0,32,267.0,33
isi,3.96,3.0,64,533.0,34
isi,3.96,3.0,16,134.0,35
isi,3.96,3.0,16,134.0,36
isi,3.96,3.0,32,267.0,37
isi,3.96,3.0,8,67.0,38
isi,3.96,3.0,16,134.0,39
isi,3.96,3.0,2,17.0,40
dur,3.96,3.0,16,134.0,41
isi,3.96,3.0,32,267.0,42
dur,3.96,3.0,2,17.0,43
dur,3.96,3.0,2,17.0,44
dur,3.96,3.0,32,267.0,45
dur,3.96,3.0,16,134.0,46
isi,3.96,3.0,8,67.0,47
dur,3.96,3.0,8,67.0,48
isi,3.96,3.0,4,33.0,49
dur,3.96,3.0,64,533.0,50
dur,3.96,3.0,0,0.0,51
