type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,8.0,8.0,8,67.0,0
dur,4.0,4.0,32,267.0,1
isi,6.0,6.0,16,134.0,2
isi,9.0,9.0,4,33.0,3
dur,4.0,4.0,16,134.0,4
isi,5.0,5.0,2,17.0,5
dur,3.0,3.0,2,17.0,6
dur,4.0,4.0,16,134.0,7
isi,8.0,8.0,2,17.0,8
isi,4.0,4.0,16,134.0,9
dur,14.0,14.0,64,533.0,10
isi,13.0,13.0,4,33.0,11
dur,3.0,3.0,2,17.0,12
dur,6.0,6.0,4,33.0,13
dur,10.0,10.0,8,67.0,14
dur,4.0,4.0,16,134.0,15
dur,3.0,3.0,8,67.0,16
isi,5.0,5.0,32,267.0,17
isi,5.0,5.0,16,134.0,18
dur,7.0,7.0,8,67.0,19
isi,3.0,3.0,64,533.0,20
dur,3.0,3.0,32,267.0,21
isi,4.0,4.0,64,533.0,22
dur,8.0,8.0,0,0.0,23
dur,6.0,6.0,2,17.0,24
isi,11.0,11.0,32,267.0,25
dur,3.0,3.0,4,33.0,26
isi,9.0,9.0,2,17.0,27
dur,6.0,6.0,4,33.0,28
isi,5.0,5.0,8,67.0,29
isi,4.0,4.0,64,533.0,30
isi,12.0,12.0,32,267.0,31
dur,3.0,3.0,64,533.0,32
dur,10.0,10.0,0,0.0,33
dur,7.0,7.0,0,0.0,34
isi,7.0,7.0,4,33.0,35
dur,3.0,3.0,32,267.0,36
dur,3.0,3.0,64,533.0,37
isi,5.0,5.0,8,67.0,38
