type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,6.6000000000000005,5.0,32,267.0,0
isi,3.96,3.0,4,33.0,1
dur,7.92,6.0,16,134.0,2
isi,3.96,3.0,64,533.0,3
isi,5.28,4.0,8,67.0,4
isi,3.96,3.0,16,134.0,5
isi,5.28,4.0,16,134.0,6
dur,7.92,6.0,0,0.0,7
dur,7.92,6.0,0,0.0,8
isi,11.88,9.0,2,17.0,9
dur,11.88,9.0,8,67.0,10
dur,5.28,4.0,32,267.0,11
dur,3.96,3.0,0,0.0,12
dur,6.6000000000000005,5.0,2,17.0,13
isi,3.96,3.0,64,533.0,14
dur,7.92,6.0,16,134.0,15
dur,5.28,4.0,4,33.0,16
dur,3.96,3.0,64,533.0,17
dur,10.56,8.0,2,17.0,18
dur,9.24,7.0,64,533.0,19
isi,14.520000000000001,11.0,8,67.0,20
isi,3.96,3.0,2,17.0,21
isi,10.56,8.0,32,267.0,22
isi,3.96,3.0,32,267.0,23
dur,15.84,12.0,64,533.0,24
isi,6.6000000000000005,5.0,2,17.0,25
dur,9.24,7.0,8,67.0,26
isi,5.28,4.0,8,67.0,27
isi,6.6000000000000005,5.0,32,267.0,28
dur,5.28,4.0,8,67.0,29
dur,3.96,3.0,16,134.0,30
isi,6.6000000000000005,5.0,4,33.0,31
dur,5.28,4.0,4,33.0,32
dur,3.96,3.0,4,33.0,33
dur,3.96,3.0,2,17.0,34
dur,5.28,4.0,32,267.0,35
isi,6.6000000000000005,5.0,4,33.0,36
isi,13.200000000000001,10.0,16,134.0,37
isi,9.24,7.0,64,533.0,38
