type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.96,3.0,8,67.0,0
isi,3.96,3.0,2,17.0,1
isi,6.6000000000000005,5.0,8,67.0,2
dur,14.520000000000001,11.0,64,533.0,3
dur,5.28,4.0,64,533.0,4
isi,3.96,3.0,64,533.0,5
isi,3.96,3.0,64,533.0,6
dur,10.56,8.0,2,17.0,7
dur,5.28,4.0,16,134.0,8
isi,3.96,3.0,32,267.0,9
isi,11.88,9.0,8,67.0,10
dur,10.56,8.0,16,134.0,11
isi,5.28,4.0,64,533.0,12
dur,6.6000000000000005,5.0,8,67.0,13
dur,13.200000000000001,10.0,4,33.0,14
isi,9.24,7.0,16,134.0,15
dur,3.96,3.0,32,267.0,16
isi,5.28,4.0,8,67.0,17
dur,3.96,3.0,16,134.0,18
isi,7.92,6.0,4,33.0,19
dur,5.28,4.0,0,0.0,20
dur,7.92,6.0,0,0.0,21
dur,11.88,9.0,32,267.0,22
isi,6.6000000000000005,5.0,4,33.0,23
dur,7.92,6.0,2,17.0,24
isi,9.24,7.0,4,33.0,25
isi,3.96,3.0,32,267.0,26
isi,9.24,7.0,32,267.0,27
dur,5.28,4.0,0,0.0,28
dur,5.28,4.0,4,33.0,29
dur,6.6000000000000005,5.0,8,67.0,30
isi,3.96,3.0,2,17.0,31
isi,3.96,3.0,16,134.0,32
dur,7.92,6.0,64,533.0,33
dur,6.6000000000000005,5.0,32,267.0,34
isi,3.96,3.0,2,17.0,35
dur,5.28,4.0,2,17.0,36
dur,3.96,3.0,4,33.0,37
isi,6.6000000000000005,5.0,16,134.0,38
