type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
isi,6.6000000000000005,5.0,2,17.0,0
dur,11.88,9.0,64,533.0,1
isi,5.28,4.0,4,33.0,2
isi,5.28,4.0,64,533.0,3
isi,9.24,7.0,4,33.0,4
dur,6.6000000000000005,5.0,32,267.0,5
dur,5.28,4.0,16,134.0,6
isi,3.96,3.0,8,67.0,7
isi,3.96,3.0,16,134.0,8
dur,3.96,3.0,2,17.0,9
isi,5.28,4.0,2,17.0,10
dur,7.92,6.0,32,267.0,11
dur,7.92,6.0,64,533.0,12
dur,10.56,8.0,32,267.0,13
dur,3.96,3.0,16,134.0,14
isi,6.6000000000000005,5.0,32,267.0,15
dur,15.84,12.0,8,67.0,16
isi,5.28,4.0,64,533.0,17
dur,3.96,3.0,0,0.0,18
dur,7.92,6.0,0,0.0,19
dur,9.24,7.0,2,17.0,20
isi,7.92,6.0,32,267.0,21
dur,3.96,3.0,4,33.0,22
isi,3.96,3.0,16,134.0,23
dur,3.96,3.0,0,0.0,24
dur,6.6000000000000005,5.0,8,67.0,25
isi,10.56,8.0,2,17.0,26
dur,6.6000000000000005,5.0,4,33.0,27
isi,3.96,3.0,64,533.0,28
isi,11.88,9.0,8,67.0,29
dur,5.28,4.0,2,17.0,30
dur,3.96,3.0,8,67.0,31
dur,9.24,7.0,64,533.0,32
dur,5.28,4.0,16,134.0,33
isi,3.96,3.0,4,33.0,34
isi,6.6000000000000005,5.0,8,67.0,35
isi,13.200000000000001,10.0,16,134.0,36
isi,14.520000000000001,11.0,32,267.0,37
dur,5.28,4.0,4,33.0,38
