type,iti_s,iti_TR,cond_frames,cond_ms,texture_id
dur,3.0,3.0,64,533.0,0
dur,7.0,7.0,16,134.0,1
isi,3.0,3.0,16,134.0,2
isi,4.0,4.0,2,17.0,3
dur,3.0,3.0,64,533.0,4
dur,14.0,14.0,32,267.0,5
isi,5.0,5.0,4,33.0,6
isi,5.0,5.0,64,533.0,7
isi,11.0,11.0,64,533.0,8
isi,3.0,3.0,2,17.0,9
dur,6.0,6.0,8,67.0,10
dur,10.0,10.0,2,17.0,11
dur,3.0,3.0,4,33.0,12
dur,4.0,4.0,32,267.0,13
isi,6.0,6.0,32,267.0,14
dur,4.0,4.0,4,33.0,15
isi,7.0,7.0,2,17.0,16
dur,5.0,5.0,16,134.0,17
dur,8.0,8.0,4,33.0,18
isi,13.0,13.0,4,33.0,19
dur,3.0,3.0,2,17.0,20
dur,8.0,8.0,0,0.0,21
isi,6.0,6.0,32,267.0,22
isi,3.0,3.0,16,134.0,23
isi,5.0,5.0,8,67.0,24
isi,4.0,4.0,4,33.0,25
dur,7.0,7.0,0,0.0,26
dur,4.0,4.0,0,0.0,27
dur,8.0,8.0,8,67.0,28
dur,4.0,4.0,8,67.0,29
dur,3.0,3.0,64,533.0,30
isi,12.0,12.0,16,134.0,31
dur,10.0,10.0,16,134.0,32
isi,4.0,4.0,8,67.0,33
dur,9.0,9.0,2,17.0,34
isi,3.0,3.0,64,533.0,35
isi,5.0,5.0,32,267.0,36
isi,9.0,9.0,8,67.0,37
dur,6.0,6.0,32,267.0,38
